"ID_NAME","CONSUMPTION_SEGMENT_CODE","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01","2023-03-01","2023-04-01","2023-05-01","2023-06-01","2023-07-01","2023-08-01","2023-09-01","2023-10-01","2023-11-01","2023-12-01","2024-01-01","2024-02-01","2024-03-01","2024-04-01","2024-05-01","2024-06-01","2024-07-01","2024-08-01","2024-09-01","2024-10-01","2024-11-01","2024-12-01","2025-01-01","2025-02-01","2025-03-01","2025-04-01","2025-05-01","2025-06-01","2025-07-01","2025-08-01","2025-09-01","2025-10-01","2025-11-01","2025-12-01","2026-01-01","2026-02-01","2026-03-01","2026-04-01","2026-05-01","2026-06-01"
"Apples - not cooking","CP0116301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.267,5.893,3.807,4.923,4.957,3.515
"Avocados","CP0116199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.334,-1.713,-0.587,0.113,-0.911,0.612
"Baby food - pouch, pot, or jar","CP0119201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baby formula","CP0119202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.475,3.476,3.219,5.568,4.951,4.827
"Baked beans","CP0117901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,0.103,2.603,0.608,0.963,-1.549
"Bananas","CP0116101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1.362,1.657,0.493,0.506,0.539
"Beans - canned or jarred (excl. baked beans)","CP0117901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,0.103,2.603,0.608,0.963,-1.549
"Beef - burgers","CP0112201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.504,20.604,18.839,13.224,9.414,5.063
"Beef - joints","CP0112201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.504,20.604,18.839,13.224,9.414,5.063
"Beef - minced or diced","CP0112201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.504,20.604,18.839,13.224,9.414,5.063
"Beef - steak or chops","CP0112201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.504,20.604,18.839,13.224,9.414,5.063
"Beer - ale (excl. pale ales and IPAs)","CP0213003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.021,4.627,5.18,2.535,0.288,-0.524
"Beer - lager","CP0213002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.004,0.387,0.14,-0.43,-0.946,-4.062
"Beer - low or no alcohol","CP0213005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beer - mild (e.g. bitter, pale ale, IPAs)","CP0213001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.502,3.225,2.086,-0.996,0.321,0.398
"Beer - stout/porter","CP0213004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.272,0.432,-0.059,1.036,1.263,1.398
"Biscuits - sweet (excl. cookies)","CP0111309",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.415,-3.818,-4.772,2.101,-3.849,3.845
"Blueberries","CP0116401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.077,1.236,2.752,3.567,1.233,3.186
"Bread - gluten-free or premium (e.g. sourdough)","CP0111303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.612,3.082,4.103,2.796,2.119,2.631
"Bread - sliced white","CP0111301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.483,1.134,1.15,1.095,0.352,0.775
"Bread - sliced wholemeal or brown","CP0111302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.265,0.788,1.316,0.922,0.951,1.571
"Bread - unsliced white","CP0111301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.483,1.134,1.15,1.095,0.352,0.775
"Fish - breaded or battered (e.g. fingers and goujons)","CP0113301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.474,5.445,9.321,10.441,5.654,5.547
"Fish - breaded or battered (whole fish)","CP0113301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.474,5.445,9.321,10.441,5.654,5.547
"Broccoli","CP0117101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.329,1.389,0.981,5.75,3.532,3.53
"Butter - dairy (block or tub)","CP0115201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,-1.13,0.002,-3.993,-2.768,-6.571
"Butter - dairy (spreadable)","CP0115201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,-1.13,0.002,-3.993,-2.768,-6.571
"Cabbage","CP0117101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.329,1.389,0.981,5.75,3.532,3.53
"Cake - individual snacks and bars","CP0111311",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.794,2.801,-2.196,-3.609,-1.645,-3.489
"Cake - large and sharing","CP0111311",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.794,2.801,-2.196,-3.609,-1.645,-3.489
"Fish - canned tuna","CP0113302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.278,-3.005,-2.273,-2.156,-2.553,-1.878
"Fruit - canned","CP0116901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.553,-1.688,-0.534,-1.244,-0.091,-0.402
"Canned meat","CP0112504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.331,10.91,7.971,8.822,8.731,10.015
"Carrots","CP0117401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.723,0.642,2.552,23.432,3.184,2.608
"Cauliflower","CP0117101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.329,1.389,0.981,5.75,3.532,3.53
"Cereal - gluten free","CP0111401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.261,3.625,3.006,3.832,3.048,4.075
"Cereal - non-sugary","CP0111401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.261,3.625,3.006,3.832,3.048,4.075
"Cereal, protein and energy bars","CP0111402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.045,7.506,2.771,7.957,7.424,9.305
"Cereal - sugary","CP0111401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.261,3.625,3.006,3.832,3.048,4.075
"Champagne","CP0212104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.44,-4.024,-3.313,-1.235,-7.091,-2.577
"Cheese - Brie","CP0114599",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.429,-0.578,0.359,1.257,-1.416,-2.031
"Cheese - Cheddar","CP0114501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,3.076,-3.283,-1.331,-3.56,-4.557
"Cheese - regional (e.g. Cheshire, Red Leicester)","CP0114599",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.429,-0.578,0.359,1.257,-1.416,-2.031
"Cheese - spreadable","CP0114599",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.429,-0.578,0.359,1.257,-1.416,-2.031
"Chicken - Kiev or Kyiv","CP0112502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.827,8.371,9.868,5.99,7.881,10.178
"Chicken - nuggets","CP0112502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.827,8.371,9.868,5.99,7.881,10.178
"Chicken - fillet or steak","CP0112204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.371,1.337,1.951,-0.563,0.317,0.828
"Chicken - whole","CP0112204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.371,1.337,1.951,-0.563,0.317,0.828
"Chocolate - with filling","CP0118503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.244,20.676,23.07,22.776,16.755,9.971
"Chocolate - assortments (e.g. selection box)","CP0118502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.485,6.457,12.581,9.358,9.318,4.184
"Chocolate - plain or flavoured","CP0118501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.825,8.627,9.738,6.192,6.744,4.562
"Cider - apple","CP0212201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.915,4.339,-0.839,3.003,-1.911,2.384
"Cider - flavoured","CP0212202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.951,3.613,5.325,3.109,-0.027,0.681
"Tobacco - cigarettes","CP0230101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.503,7.007,7.056,7.007,6.821,6.92
"Tobacco - cigars","CP0230201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.856,5.027,5.517,5.461,5.451,5.808
"Clementines and mandarins","CP0116201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.306,0.446,1.609,0.843,3.594,3.638
"Coffee - instant","CP0122001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.185,6.254,9.006,6.251,2.484,0.637
"Coffee - pods or capsules","CP0122001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.185,6.254,9.006,6.251,2.484,0.637
"Coffee - sachets","CP0122001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.185,6.254,9.006,6.251,2.484,0.637
"Cola - full sugar, bottles","CP0126001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.621,4.728,6.172,5.79,4.23,2.767
"Cola - full sugar, cans","CP0126001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.621,4.728,6.172,5.79,4.23,2.767
"Cola - low or no sugar, bottles","CP0126001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.621,4.728,6.172,5.79,4.23,2.767
"Deli meats - continental (e.g. cured meats, salami, prosciutto)","CP0112301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.403,1.902,5.591,3.798,0.302,0.809
"Sauces - cook-in or marinades","CP0119304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.464,0.627,5.74,5.632,5.781,6.354
"Chicken - cooked (e.g. slices, chunks, or pieces)","CP0112302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.591,6.038,6.767,6.464,1.978,1.795
"Pork or ham - cooked (e.g. slices, chunks, or pieces)","CP0112301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.403,1.902,5.591,3.798,0.302,0.809
"Cookies","CP0111309",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.415,-3.818,-4.772,2.101,-3.849,3.845
"Courgette","CP0117202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.273,7.777,4.019,3.078,6.827,7.684
"Couscous - dry","CP0111503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.718,5.59,3.644,6.655,4.67,3.452
"Crackers","CP0111310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.934,-0.89,-1.201,-0.143,-0.024,0.205
"Cream - pouring and cooking (e.g. single, whipping)","CP0114301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.195,12.133,11.016,7.098,5.446,4.203
"Crisps - corn","CP0117904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.177,3.515,0.458,3.129,-2.079,1.704
"Crisps - potato, sharing or multipacks","CP0117903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.955,1.71,0.454,1.379,0.621,-0.795
"Crisps - potato, individual packs","CP0117903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.955,1.71,0.454,1.379,0.621,-0.795
"Crisps - vegetable","CP0117905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.483,0.177,-1.805,-2.069,-5.071,-0.561
"Croissant","CP0111306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crumpets","CP0111308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.488,3.251,4.256,-1.445,6.396,-1.041
"Cucumber","CP0117202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.273,7.777,4.019,3.078,6.827,7.684
"Dried fruit preparations (not chocolate, e.g. mixed)","CP0116701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.123,13.421,15.744,11.392,8.679,8.624
"Rice - basmati or jasmine","CP0111101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.398,0.118,1.641,0.147,1.354,1.016
"Pasta - dry","CP0111501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.086,0.739,4.267,3.717,3.626,3.913
"Seeds - singular or mixed","CP0119402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.151,13.232,11.561,8.875,4.417,2.39
"Eggs - free-range","CP0114801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.448,3.693,4.625,4.046,4.313,2.894
"Energy drinks","CP0129002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.935,6.084,6.876,5.852,6.099,3.666
"Ready meals - fish","CP0119101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.185,6.616,6.643,3.762,3.107,3.979
"Milk - flavoured","CP0114702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.697,7.165,0.396,2.109,-11.277,14.576
"Water - flavoured","CP0125001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.316,7.18,9.418,6.254,6.795,8.219
"Flour - self-raising","CP0111201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.571,-8.338,-6.75,-6.086,-6.051,-5.061
"Fish - fresh cod","CP0113102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.104,19.822,22.177,26.165,26.998,27.269
"Fish - fresh salmon","CP0113101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.282,-5.535,2.474,2.983,-2.806,-0.789
"Fresh pot dessert - dairy","CP0114701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.024,1.927,3.909,4.396,3.157,0.851
"Fruit - frozen","CP0116601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.875,28.91,33.865,36.027,27.764,26.812
"Mixed vegetables - frozen","CP0117801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335,-0.828,2.35,3.653,1.104,1.899
"Peas - frozen","CP0117801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335,-0.828,2.35,3.653,1.104,1.899
"Frozen potato chips and wedges (incl. sweet)","CP0117902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.377,2.585,-1.526,-1.544,0.172,-4.069
"Seafood - frozen prawns and shrimps","CP0113402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.754,2.398,1.474,3.316,-1.081,1.073
"Fruit juice - juice and water blends","CP0121002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.871,6.807,10.177,10.763,5.231,9.131
"Fruit juice - not from concentrate","CP0121001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92,-0.282,1.966,0.459,-1.374,-0.317
"Fruit salad","CP0116902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.215,6.562,6.064,5.999,3.764,4.958
"Fruit smoothies","CP0121001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92,-0.282,1.966,0.459,-1.374,-0.317
"Fruit squash","CP0121003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.43,-0.017,0.048,-3.686,-1.966,-3.348
"Garlic bread","CP0111305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.103,4.811,5.564,2.204,0.065,-0.679
"Grapefruit","CP0116299",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.933,4.589,6.701,6.688,7.025,8.417
"Grapes","CP0116501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,1.668,2.799,3.469,2.929,4.726
"Herbs - dried","CP0119401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.318,4.238,5.686,5.667,3.568,3.386
"Honey","CP0118302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.812,-8.228,-5.906,-5.944,-10.684,-8.348
"Hot chocolate and cocoa powder","CP0124001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.801,2.89,0.467,-2.187,-0.632,-1.211
"Houmous","CP0117999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ice cream - bars, lollies, and cones","CP0118602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.52,2.276,8.125,1.662,-2.78,2.793
"Ice cream - tubs (incl. yoghurt)","CP0118601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.535,0.554,3.625,-0.504,2.099,-0.443
"Jam or conserve","CP0118301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.612,-2.478,2.415,0.999,-0.253,-2.166
"Kiwis","CP0116501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,1.668,2.799,3.469,2.929,4.726
"Lamb - steaks, chops or fillets","CP0112203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.375,5.497,5.861,4.813,5.248,6.29
"Leafy salad bag","CP0117404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.934,9.709,9.942,8.223,6.205,6.278
"Lemons","CP0116299",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.933,4.589,6.701,6.688,7.025,8.417
"Lemonade - full sugar, bottles","CP0126001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.621,4.728,6.172,5.79,4.23,2.767
"Lettuce","CP0117199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.175,2.07,1.067,1.641,1.029,1.947
"Offal - liver","CP0112401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.542,17.048,6.678,1.072,9.173,3.403
"Mangoes (fresh)","CP0116199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.334,-1.713,-0.587,0.113,-0.911,0.612
"Margarine - milk and vegetable blend","CP0115301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.083,6.488,3.34,-1.796,4.225,-2.076
"Margarine - vegetable","CP0115301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.083,6.488,3.34,-1.796,4.225,-2.076
"Condiments - mayonnaise","CP0119302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.704,6.254,-1.914,3.855,-0.692,1.782
"Meat-based packet snacks","CP0112599",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.519,-0.454,0.478,0.465,1.516,3.239
"Pastry - meat-based (e.g. pie, pasty, roll)","CP0112503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.913,8.914,7.33,7.059,5.608,3.241
"Ready meals - meat (not fish or pasta)","CP0119101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.185,6.616,6.643,3.762,3.107,3.979
"Melons","CP0116501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,1.668,2.799,3.469,2.929,4.726
"Milk - cow's (semi-skimmed, fresh)","CP0114201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.038,-0.996,-0.824,-0.846,-0.693,-0.64
"Milk - cow's (whole, fresh)","CP0114101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.712,13.137,12.652,10.734,7.245,2.42
"Mixer (e.g. tonic) - full sugar","CP0126099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.999,5.798,4.261,3.022,3.151,2.786
"Mushrooms","CP0117403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.598,0.471,1.903,2.913,0.902,2.595
"Noodles - Asian-style","CP0111501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.086,0.739,4.267,3.717,3.626,3.913
"Nuts preparations (not chocolate, e.g. mixed, salted)","CP0116999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.145,2.208,1.52,0.577,3.012,-1.265
"Milk - oat","CP0114401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.278,2.674,2.161,2.545,4.649,3.171
"Oats or porridge","CP0111404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.131,9.951,9.465,11.216,6.393,3.421
"Oil - olive","CP0115101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.004,-10.697,-6.831,-9.952,-4.81,-2.435
"Onions","CP0117402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.769,-0.44,-0.819,-4.886,0.058,0.417
"Oranges","CP0116201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.306,0.446,1.609,0.843,3.594,3.638
"Beans - fresh (excl. soya or edamame)","CP0117301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.172,6.173,4.838,4.299,7.295,5.868
"Other fizzy drink - full sugar, bottles","CP0126099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.999,5.798,4.261,3.022,3.151,2.786
"Cheese - parmesan and similar products","CP0114599",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.429,-0.578,0.359,1.257,-1.416,-2.031
"Pasta and noodles - instant pots or packets","CP0111502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.779,6.344,4.2,7.801,4.113,8.097
"Peanut butter","CP0118401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,-1.195,1.976,1.618,2.303,-0.741
"Pears","CP0116399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.387,-3.234,-3.986,-2.799,-1.822,-1.683
"Peppers","CP0117201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.269,15.149,15.179,9.465,3.721,4.115
"Pickled vegetables","CP0117998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.092,5.845,2.564,4.672,4.977,4.061
"Pineapple (fresh)","CP0116199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.334,-1.713,-0.587,0.113,-0.911,0.612
"Pizza","CP0119104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.472,-4.783,-1.936,-4.166,1.16,-8.283
"Plums","CP0116399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.387,-3.234,-3.986,-2.799,-1.822,-1.683
